Event Id;Investigation Type;Accident Number;Event Date;Location;Country;Latitude;Longitude;Airport Code;Airport Name;Injury Severity;Aircraft Damage;Aircraft Category;Registration Number;Make;Model;Amateur Built;Number of Engines;Engine Type;FAR Description;Schedule;Purpose of Flight;Air Carrier;Total Fatal Injuries;Total Serious Injuries;Total Minor Injuries;Total Uninjured;Weather Condition;Broad Phase of Flight;Report Status;Publication Date   ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200206X90423;Accident;WPR20CA089;43984;Eureka  CA;United States;40.823334;-124.141666;KEKA;N/A;Unavailable;N/A;N/A;N24MG;Cessna;208;No;1;N/A;Part 135: Air Taxi & Commuter;N/A;N/A;Castle Aviation Inc;N/A;N/A;N/A;N/A;N/A;N/A;Preliminary;44137;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200206X90234;Accident;CEN20FA075;43984;Chatham  LA;United States;32.314444;-92.440555;RSN;Ruston Regional Airport;Fatal(3);Destroyed;Airplane;N60381;Cessna;182;No;1;Reciprocating;Part 91: General Aviation;N/A;Business;N/A;3;N/A;N/A;N/A;VMC;APPROACH;Preliminary;02/19/2020;N/A;N/A;N/A;N/A;N/A;  ;N/A;N/A
20200206X34831;Accident;ANC20FA017;43984;Tuntutuliak  AK;United States;60.351667;-163.023056;N/A;N/A;Fatal(5);Substantial;Airplane;N7632C;Piper;PA32R;No;1;Reciprocating;Part 135: Air Taxi & Commuter;SCHD;N/A;Paklook Air Inc (DBA: Yute Commuter Services);5;N/A;N/A;N/A;IMC;CRUISE;Preliminary;02/24/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200210X11725;Accident;ANC20CA018;43984;Palmer  AK;United States;61.410278;-148.086666;N/A;N/A;Non-Fatal;Substantial;Airplane;N817PS;Cessna;172;No;1;N/A;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;N/A;3;VMC;N/A;Preliminary;02/27/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200205X33820;Accident;WPR20FA086;43953;Sonora  CA;United States;38.030556;-120.414444;N/A;N/A;Fatal(2);Substantial;Airplane;N9474A;Cessna;140;No;1;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;2;N/A;N/A;N/A;N/A;UNKNOWN;Preliminary;43864;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200206X45743;N/A;WPR20CA088;43923;Mesa  AZ;United States;33.461111;-111.723889;KFFZ;N/A;Unavailable;Substantial;N/A;N4400F;PIPER;PA-28-181;No;N/A;N/A;Part 91: General Aviation;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Preliminary;44137;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200203X53852;Accident;CEN20CA074;43892;Kingfisher  OK;United States;35.876667;-97.953056;F92;Kingfisher;Non-Fatal;Substantial;Airplane;N711PF;Piper;PA32;No;1;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;N/A;3;VMC;LANDING;Factual;02/24/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200210X75757;Accident;ERA20CA098;43863;Manchester  NH;United States;42.932778;-71.435833;MHT;Manchester;Unavailable;Substantial;Airplane;N309MA;Maule;M7;No;1;N/A;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Preliminary;44137;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200202X83050;Accident;CEN20FA072;43863;Florence  CO;United States;38.430834;-105.118056;1V6;FREMONT COUNTY;Fatal(1);Substantial;Airplane;N5969W;Piper;PA28;No;1;Reciprocating;Part 91: General Aviation;N/A;Instructional;N/A;1;2;N/A;N/A;VMC;UNKNOWN;Preliminary;44167;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200131X50937;Accident;ERA20CA093;01/31/2020;Crystal River  FL;United States;28.867500;-82.574167;CGC;Crystal River-Captain Tom Davi;Unavailable;Substantial;Airplane;N739XT;Cessna;172;No;1;N/A;Part 91: General Aviation;N/A;Instructional;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Preliminary;43984;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200204X12350;Accident;ERA20CA099;01/30/2020;Naples  FL;United States;26.152500;-81.775556;APF;Naples Muni;Unavailable;Substantial;Airplane;N7047W;PIPER;PA28;No;N/A;N/A;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Preliminary;02/13/2020;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200129X95515;Accident;CEN20TA071;01/29/2020;Big Spring  TX;United States;N/A;N/A;BPG;N/A;Non-Fatal;Substantial;Airplane;N50JR;Beech;60;No;N/A;N/A;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;1;N/A;N/A;CRUISE;Preliminary;02/19/2020;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200128X73907;Accident;CEN20FA070;01/28/2020;Springfield  IL;United States;39.762500;-89.572223;SPI;Abraham Lincoln Capital Arpt;Fatal(3);Substantial;Airplane;N6071R;Piper;PA60;No;2;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;3;N/A;N/A;N/A;IMC;APPROACH;Preliminary;44137;N/A;N/A;N/A;N/A;N/A; ;N/A;N/A
20200127X92625;Accident;WPR20CA085;01/27/2020;Eloy  AZ;United States;N/A;N/A;E60;N/A;Unavailable;Substantial;N/A;N9729B;Cessna;180;No;1;N/A;Part 91: General Aviation;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Preliminary;01/30/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200127X42609;Accident;ERA20FA088;01/27/2020;Grafton  WV;United States;39.393055;-80.048889;N/A;N/A;Fatal(1);Destroyed;Airplane;N214K;AEROPRO CZ;A220;No;1;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;1;N/A;N/A;N/A;UNK;UNKNOWN;Preliminary;44167;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200128X35830;Accident;CEN20LA069;01/27/2020;Woody Creek  CO;United States;39.267223;-106.810278;N/A;N/A;Non-Fatal;Substantial;Airplane;N288WT;Cirrus;SR22;No;1;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;N/A;2;IMC;CRUISE;Preliminary;44137;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200126X41436;Accident;DCA20MA059;01/26/2020;Calabasas  CA;United States;N/A;N/A;N/A;N/A;Fatal(9);Destroyed;Helicopter;N72EX;Sikorsky;S76;No;N/A;N/A;Part 135: Air Taxi & Commuter;NSCH;N/A;Island Express;9;N/A;N/A;N/A;IMC;CRUISE;Preliminary;02/13/2020;N/A;N/A;N/A;N/A;N/A; ;N/A;N/A
20200128X95048;Accident;CEN20CA067;01/26/2020;Greenville  TX;United States;33.069167;-96.065278;GVT;MAJORS;Non-Fatal;Substantial;Airplane;N238SH;GLASAIR;1;No;1;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;1;N/A;VMC;LANDING;Factual;02/21/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200127X52059;Accident;WPR20CA084;01/25/2020;Prescott  AZ;United States;34.652778;-112.421111;PRC;Prescott Rgnl -0 Ernest A Love;Non-Fatal;N/A;Airplane;N31ER;Cessna;150;No;1;N/A;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;N/A;2;VMC;N/A;Preliminary;44167;N/A;N/A;N/A;N/A;   ;N/A;N/A;N/A
20200126X35126;Accident;ERA20LA089;01/25/2020;Summerland Key  FL;United States;24.660833;-81.449444;FD51;Summerland Key Cove Airport;Non-Fatal;Substantial;Airplane;N41VK;Beech;A36;No;1;N/A;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;N/A;1;VMC;TAKEOFF;Preliminary;43833;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
